m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
807,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,North Macedonia,2021,21.782912487,US$/m3,E,false
807,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,North Macedonia,2022,22.250339371,US$/m3,E,false
15,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa,2020,26.657929606,US$/m3,E,true
15,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa,2021,28.707803387,US$/m3,E,true
15,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa,2022,29.437623629,US$/m3,E,true
747,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa and Western Asia,2020,51.69987088,US$/m3,E,true
747,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa and Western Asia,2021,54.551127531,US$/m3,E,true
747,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern Africa and Western Asia,2022,55.160210741,US$/m3,E,true
21,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern America,2020,279.160493311,US$/m3,E,true
21,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern America,2021,293.758995064,US$/m3,E,true
21,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Northern America,2022,297.106125142,US$/m3,E,true
578,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Norway,2020,325.25765721,US$/m3,E,false
578,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Norway,2021,318.293963454,US$/m3,E,false
578,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Norway,2022,258.92927578,US$/m3,E,false
9,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania,2020,375.318692723,US$/m3,E,true
9,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania,2021,348.364986331,US$/m3,E,true
9,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania,2022,354.872799732,US$/m3,E,true
543,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania (excluding Australia and New Zealand),2020,107.232121863,US$/m3,E,true
543,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania (excluding Australia and New Zealand),2021,104.441916021,US$/m3,E,true
543,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oceania (excluding Australia and New Zealand),2022,106.984975982,US$/m3,E,true
512,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oman,2020,356.602641727,US$/m3,E,false
512,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oman,2021,338.606362744,US$/m3,E,false
512,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Oman,2022,362.619756686,US$/m3,E,false
586,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Pakistan,2020,20.458304747,US$/m3,E,false
586,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Pakistan,2021,21.321193623,US$/m3,E,false
586,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Pakistan,2022,22.19769361,US$/m3,E,false
275,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Palestine,2020,43.826813232,US$/m3,E,false
275,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Palestine,2021,37.257460075,US$/m3,E,false
275,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Palestine,2022,38.447927094,US$/m3,E,false
591,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Panama,2020,53.234526731,US$/m3,E,false
591,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Panama,2021,58.864360097,US$/m3,E,false
591,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Panama,2022,65.119642722,US$/m3,E,false
598,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Papua New Guinea,2020,48.323639562,US$/m3,E,false
598,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Papua New Guinea,2021,46.314862291,US$/m3,E,false
598,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Papua New Guinea,2022,44.531390147,US$/m3,E,false
600,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Paraguay,2020,62.698031653,US$/m3,E,false
600,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Paraguay,2021,62.820245468,US$/m3,E,false
600,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Paraguay,2022,63.765068017,US$/m3,E,false
604,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Peru,2020,48.720377175,US$/m3,E,false
604,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Peru,2021,36.509051191,US$/m3,E,false
604,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Peru,2022,36.900927413,US$/m3,E,false
608,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Philippines,2020,25.788402199,US$/m3,E,false
608,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Philippines,2021,26.589291139,US$/m3,E,false
608,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Philippines,2022,27.711247531,US$/m3,E,false
616,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Poland,2020,175.34513728,US$/m3,E,false
616,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Poland,2021,173.161403517,US$/m3,E,false
616,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Poland,2022,182.497040943,US$/m3,E,false
620,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Portugal,2020,152.831454678,US$/m3,E,false
620,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Portugal,2021,159.506898095,US$/m3,E,false
620,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Portugal,2022,171.837079951,US$/m3,E,false
630,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Puerto Rico,2020,59.332056612,US$/m3,E,false
630,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Puerto Rico,2021,60.583134488,US$/m3,E,false
630,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Puerto Rico,2022,65.777441084,US$/m3,E,false
634,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Qatar,2020,164.87547365,US$/m3,E,false
634,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Qatar,2021,142.30235005,US$/m3,E,false
634,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Qatar,2022,115.147502679,US$/m3,E,false
410,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Korea,2020,144.377892901,US$/m3,E,false
410,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Korea,2021,148.196846095,US$/m3,E,false
410,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Korea,2022,153.508926227,US$/m3,E,false
498,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Moldova,2020,29.795895427,US$/m3,E,false
498,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Moldova,2021,34.259549135,US$/m3,E,false
498,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Republic of Moldova,2022,33.858022766,US$/m3,E,false
642,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Romania,2020,123.207285618,US$/m3,E,false
642,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Romania,2021,110.067937109,US$/m3,E,false
642,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Romania,2022,111.877941079,US$/m3,E,false
643,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Russian Federation,2020,49.062373786,US$/m3,E,false
643,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Russian Federation,2021,50.083938545,US$/m3,E,false
643,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Russian Federation,2022,49.021846268,US$/m3,E,false
646,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Rwanda,2020,22.606141988,US$/m3,E,false
646,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Rwanda,2021,25.581289376,US$/m3,E,false
646,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Rwanda,2022,26.66931497,US$/m3,E,false
659,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Kitts and Nevis,2020,38.30886737,US$/m3,E,false
659,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Kitts and Nevis,2021,38.338420451,US$/m3,E,false
659,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Kitts and Nevis,2022,42.553231243,US$/m3,E,false
662,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Lucia,2020,87.29261902,US$/m3,E,false
662,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Lucia,2021,101.870491942,US$/m3,E,false
662,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Lucia,2022,113.706765402,US$/m3,E,false
670,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Vincent and the Grenadines,2020,64.994639542,US$/m3,E,false
670,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Vincent and the Grenadines,2021,66.096846546,US$/m3,E,false
670,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saint Vincent and the Grenadines,2022,70.826555378,US$/m3,E,false
678,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sao Tome and Principe,2020,18.494646306,US$/m3,E,false
678,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sao Tome and Principe,2021,19.170729141,US$/m3,E,false
678,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sao Tome and Principe,2022,19.132852134,US$/m3,E,false
682,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saudi Arabia,2020,109.832516047,US$/m3,E,false
682,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saudi Arabia,2021,99.362852465,US$/m3,E,false
682,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Saudi Arabia,2022,91.018849252,US$/m3,E,false
686,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Senegal,2020,46.039634561,US$/m3,E,false
686,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Senegal,2021,49.160798292,US$/m3,E,false
686,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Senegal,2022,52.350989764,US$/m3,E,false
688,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Serbia,2020,37.514332747,US$/m3,E,false
688,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Serbia,2021,39.093603181,US$/m3,E,false
688,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Serbia,2022,39.513416275,US$/m3,E,false
690,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Seychelles,2020,140.011012849,US$/m3,E,false
690,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Seychelles,2021,148.944018817,US$/m3,E,false
690,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Seychelles,2022,153.644467166,US$/m3,E,false
694,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sierra Leone,2020,14.082443561,US$/m3,E,false
694,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sierra Leone,2021,15.290212172,US$/m3,E,false
694,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sierra Leone,2022,15.570388297,US$/m3,E,false
702,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Singapore,2020,829.186331261,US$/m3,E,false
702,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Singapore,2021,1054.352427928,US$/m3,E,false
702,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Singapore,2022,1378.955278781,US$/m3,E,false
703,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovakia,2020,208.633503988,US$/m3,E,false
703,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovakia,2021,207.128041417,US$/m3,E,false
703,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovakia,2022,202.530480499,US$/m3,E,false
705,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovenia,2020,170.701197831,US$/m3,E,false
705,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovenia,2021,182.681863842,US$/m3,E,false
705,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Slovenia,2022,179.4143923,US$/m3,E,false
722,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Small Island Developing States,2020,90.006311216,US$/m3,E,true
722,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Small Island Developing States,2021,97.651902332,US$/m3,E,true
722,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Small Island Developing States,2022,101.711339907,US$/m3,E,true
706,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Somalia,2020,168.236876404,US$/m3,E,false
706,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Somalia,2021,173.81445678,US$/m3,E,false
706,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Somalia,2022,178.04124683,US$/m3,E,false
710,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Africa,2020,73.211517548,US$/m3,E,false
710,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Africa,2021,67.986269345,US$/m3,E,false
710,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Africa,2022,67.554240098,US$/m3,E,false
728,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Sudan,2020,18.257744756,US$/m3,E,false
728,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Sudan,2021,14.028341924,US$/m3,E,false
728,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South Sudan,2022,11.317360531,US$/m3,E,false
35,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South-eastern Asia,2020,38.272927965,US$/m3,E,true
35,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South-eastern Asia,2021,38.581189935,US$/m3,E,true
35,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,South-eastern Asia,2022,40.157439395,US$/m3,E,true
34,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Southern Asia,2020,26.034073663,US$/m3,E,true
34,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Southern Asia,2021,27.664298066,US$/m3,E,true
34,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Southern Asia,2022,29.522950178,US$/m3,E,true
724,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Spain,2020,184.964896442,US$/m3,E,false
724,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Spain,2021,195.444192821,US$/m3,E,false
724,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Spain,2022,209.020940218,US$/m3,E,false
144,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sri Lanka,2020,67.754566583,US$/m3,E,false
144,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sri Lanka,2021,67.573170229,US$/m3,E,false
144,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sri Lanka,2022,62.58306815,US$/m3,E,false
202,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sub-Saharan Africa,2020,52.590862876,US$/m3,E,true
202,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sub-Saharan Africa,2021,52.362270531,US$/m3,E,true
202,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sub-Saharan Africa,2022,53.335628464,US$/m3,E,true
729,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sudan,2020,56.528598696,US$/m3,E,false
729,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sudan,2021,55.064248879,US$/m3,E,false
729,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sudan,2022,53.820902013,US$/m3,E,false
740,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Suriname,2020,47.953837983,US$/m3,E,false
740,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Suriname,2021,45.941265306,US$/m3,E,false
740,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Suriname,2022,41.515440523,US$/m3,E,false
752,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sweden,2020,526.085998559,US$/m3,E,false
752,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sweden,2021,552.872125908,US$/m3,E,false
752,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Sweden,2022,566.88858177,US$/m3,E,false
756,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Switzerland,2020,573.984416312,US$/m3,E,false
756,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Switzerland,2021,610.448947149,US$/m3,E,false
756,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Switzerland,2022,624.042546316,US$/m3,E,false
760,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Syrian Arab Republic,2020,5.420900896,US$/m3,E,false
760,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Syrian Arab Republic,2021,5.803184921,US$/m3,E,false
760,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Syrian Arab Republic,2022,5.636878222,US$/m3,E,false
762,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tajikistan,2020,5.011088489,US$/m3,E,false
762,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tajikistan,2021,5.161236205,US$/m3,E,false
762,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tajikistan,2022,6.644890535,US$/m3,E,false
764,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Thailand,2020,96.187312721,US$/m3,E,false
764,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Thailand,2021,94.734640576,US$/m3,E,false
764,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Thailand,2022,97.540674606,US$/m3,E,false
626,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Timor-Leste,2020,12.609458509,US$/m3,E,false
626,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Timor-Leste,2021,8.378746509,US$/m3,E,false
626,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Timor-Leste,2022,8.125490172,US$/m3,E,false
768,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Togo,2020,27.721833701,US$/m3,E,false
768,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Togo,2021,29.228602847,US$/m3,E,false
768,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Togo,2022,31.087826355,US$/m3,E,false
780,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Trinidad and Tobago,2020,59.009064142,US$/m3,E,false
780,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Trinidad and Tobago,2021,50.424552606,US$/m3,E,false
780,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Trinidad and Tobago,2022,45.86416588,US$/m3,E,false
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2020,35.761483813,US$/m3,E,false
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2021,37.365648126,US$/m3,E,false
788,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Tunisia,2022,38.400868223,US$/m3,E,false
795,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Turkmenistan,2020,33.702332526,US$/m3,E,false
795,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Turkmenistan,2021,36.119919132,US$/m3,E,false
795,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Turkmenistan,2022,37.070859226,US$/m3,E,false
792,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Türkiye,2020,82.672602884,US$/m3,E,false
792,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Türkiye,2021,88.970889808,US$/m3,E,false
792,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Türkiye,2022,91.598676242,US$/m3,E,false
800,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uganda,2020,49.255005402,US$/m3,E,false
800,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uganda,2021,52.159121379,US$/m3,E,false
800,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uganda,2022,54.627832969,US$/m3,E,false
804,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Ukraine,2020,21.081340403,US$/m3,E,false
804,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Ukraine,2021,23.587637993,US$/m3,E,false
804,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Ukraine,2022,28.368348878,US$/m3,E,false
784,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Arab Emirates,2020,89.732746663,US$/m3,E,false
784,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Arab Emirates,2021,86.235993842,US$/m3,E,false
784,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Arab Emirates,2022,97.420523411,US$/m3,E,false
826,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Kingdom of Great Britain and Northern Ireland,2020,340.323545629,US$/m3,E,false
826,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Kingdom of Great Britain and Northern Ireland,2021,367.924448148,US$/m3,E,false
826,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Kingdom of Great Britain and Northern Ireland,2022,382.090462175,US$/m3,E,false
834,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Republic of Tanzania,2020,49.27424586,US$/m3,E,false
834,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Republic of Tanzania,2021,51.358701922,US$/m3,E,false
834,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United Republic of Tanzania,2022,49.705113722,US$/m3,E,false
840,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United States of America,2020,283.096138677,US$/m3,E,false
840,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United States of America,2021,297.906508037,US$/m3,E,false
840,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,United States of America,2022,300.913568433,US$/m3,E,false
858,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uruguay,2020,90.839261692,US$/m3,E,false
858,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uruguay,2021,92.588744821,US$/m3,E,false
858,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uruguay,2022,97.158400845,US$/m3,E,false
860,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uzbekistan,2020,18.418675161,US$/m3,E,false
860,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uzbekistan,2021,20.622755675,US$/m3,E,false
860,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Uzbekistan,2022,21.804393085,US$/m3,E,false
862,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Venezuela (Bolivarian Republic of),2020,8.462081446,US$/m3,E,false
862,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Venezuela (Bolivarian Republic of),2021,8.480459119,US$/m3,E,false
862,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Venezuela (Bolivarian Republic of),2022,8.895404196,US$/m3,E,false
704,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Viet Nam,2020,124.002982566,US$/m3,E,false
704,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Viet Nam,2021,125.665840145,US$/m3,E,false
704,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Viet Nam,2022,136.137130445,US$/m3,E,false
145,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Western Asia,2020,67.521545367,US$/m3,E,true
145,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Western Asia,2021,71.631809987,US$/m3,E,true
145,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Western Asia,2022,72.439621594,US$/m3,E,true
1,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,World,2020,105.362903887,US$/m3,E,true
1,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,World,2021,112.648330262,US$/m3,E,true
1,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,World,2022,114.453846976,US$/m3,E,true
887,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Yemen,2020,43.213041798,US$/m3,E,false
887,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Yemen,2021,42.876881966,US$/m3,E,false
887,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Yemen,2022,43.393185735,US$/m3,E,false
894,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zambia,2020,44.659718593,US$/m3,E,false
894,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zambia,2021,43.160582773,US$/m3,E,false
894,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zambia,2022,51.054235203,US$/m3,E,false
716,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zimbabwe,2020,19.99928591,US$/m3,E,false
716,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zimbabwe,2021,22.53439964,US$/m3,E,false
716,Water use,Pressure on water resources,SDG 6.4.1. Services Water Use Efficiency,Zimbabwe,2022,17.128850165,US$/m3,E,false
4,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Afghanistan,2020,0.835660546,US$/m3,I,false
4,Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Afghanistan,2021,0.641496614,US$/m3,I,false
